"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_TREE", "AG_BIOMASS_TREE_ORGAN", "AG_BIOMASS_TREE_PHEN", "AG_BIOMASS_TREE_UNIT", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_TREE_SPATIAL_VARIABILITY", "AG_BIOMASS_TREE_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"US-Me6", "22141", "GRP_AG_BIOMASS_TREE", "116.9", "Foliage", "Mixed/unknown", "gC m-2", "20140430", , , "25", , , 
"US-MMS", "18296", "GRP_AG_BIOMASS_TREE", "208", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-MMS", "18299", "GRP_AG_BIOMASS_TREE", "10760", "Total", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-MMS", "18302", "GRP_AG_BIOMASS_TREE", "10552", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-MMS", "18305", "GRP_AG_BIOMASS_TREE", "230", "Foliage", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-MMS", "18307", "GRP_AG_BIOMASS_TREE", "10963", "Total", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-MMS", "18309", "GRP_AG_BIOMASS_TREE", "10733", "Wood", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-MMS", "18311", "GRP_AG_BIOMASS_TREE", "224", "Foliage", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-MMS", "18313", "GRP_AG_BIOMASS_TREE", "10842", "Total", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-MMS", "18336", "GRP_AG_BIOMASS_TREE", "10618", "Wood", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-MMS", "18338", "GRP_AG_BIOMASS_TREE", "219", "Foliage", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-MMS", "18340", "GRP_AG_BIOMASS_TREE", "11506", "Total", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-MMS", "18342", "GRP_AG_BIOMASS_TREE", "11287", "Wood", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-MMS", "18344", "GRP_AG_BIOMASS_TREE", "227", "Foliage", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-MMS", "18346", "GRP_AG_BIOMASS_TREE", "11838", "Total", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-MMS", "18348", "GRP_AG_BIOMASS_TREE", "11611", "Wood", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-MMS", "18358", "GRP_AG_BIOMASS_TREE", "224", "Foliage", "Mixed/unknown", "gC m-2", "1999", "10 more plots added for 2000 on: data are end of year numbers", , , , , 
"US-MMS", "18365", "GRP_AG_BIOMASS_TREE", "10806.2", "Total", "Mixed/unknown", "gC m-2", "1999", "10 more plots added for 2000 on: data are end of year numbers", , , , , 
"US-MMS", "18370", "GRP_AG_BIOMASS_TREE", "9038.7", "Wood", "Mixed/unknown", "gC m-2", "1999", "10 more plots added for 2000 on: data are end of year numbers", , , , , 
"US-MMS", "18374", "GRP_AG_BIOMASS_TREE", "218", "Foliage", "Mixed/unknown", "gC m-2", "2000", "10 more plots added for 2000 on: data are end of year numbers", , , , , 
"US-MMS", "18378", "GRP_AG_BIOMASS_TREE", "10588", "Wood", "Mixed/unknown", "gC m-2", "2000", "10 more plots added for 2000 on: data are end of year numbers", , , , , 
"US-NR1", "23833", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-NR1", "23969", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2006", , , , , , 
"US-NR1", "23973", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-NR1", "24072", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2006", , , , , , 
"US-NR1", "24089", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-NR1", "24090", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-NR1", "24242", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-NR1", "24349", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-NR1", "24351", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-NR1", "24468", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-NR1", "24494", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-NR1", "24605", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2006", , , , , , 
"US-NR1", "24618", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2000", , , , , , 
"US-NR1", "24620", "GRP_AG_BIOMASS_TREE", "2950", "Foliage", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-NR1", "24622", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-NR1", "24628", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-NR1", "24629", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-NR1", "24745", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2000", , , , , , 
"US-NR1", "24884", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-NR1", "24994", "GRP_AG_BIOMASS_TREE", "17750", "Total", "Mixed/unknown", "gC m-2", "2000", , , , , , 
"US-NR1", "25001", "GRP_AG_BIOMASS_TREE", "14500", "Wood", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-PFa", "26735", "GRP_AG_BIOMASS_TREE", "5265", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Mixed Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26736", "GRP_AG_BIOMASS_TREE", "2354", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Black Spruce (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26737", "GRP_AG_BIOMASS_TREE", "4029.8", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Lowland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26871", "GRP_AG_BIOMASS_TREE", "4287", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Aspen/Fir (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26872", "GRP_AG_BIOMASS_TREE", "865.9", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Non-Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26873", "GRP_AG_BIOMASS_TREE", "2354", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Black Spruce (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "26874", "GRP_AG_BIOMASS_TREE", "4029.8", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Lowland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27021", "GRP_AG_BIOMASS_TREE", "6299.5", "Wood", "Mixed/unknown", "gC m-2", "2004", "Stemwood Biomass,P. Bolstad, Taken at Willow Creek", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27022", "GRP_AG_BIOMASS_TREE", "1452", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Upland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27023", "GRP_AG_BIOMASS_TREE", "4890", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Upland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27326", "GRP_AG_BIOMASS_TREE", "4029.8", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Lowland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27578", "GRP_AG_BIOMASS_TREE", "100.7", "Foliage", "Mixed/unknown", "gC m-2", "1998", "annual average leaf litterfall 1998-2000= 100.7 (P. Bolstad)", , , , , 
"US-PFa", "27579", "GRP_AG_BIOMASS_TREE", "3610", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Lowland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27580", "GRP_AG_BIOMASS_TREE", "1795", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Alder (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27946", "GRP_AG_BIOMASS_TREE", "4287", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Aspen/Fir (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "27947", "GRP_AG_BIOMASS_TREE", "5265", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Mixed Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28212", "GRP_AG_BIOMASS_TREE", "1452", "Wood", "Mixed/unknown", "gC m-2", "2004", "branch biomass P. Bolstad, Taken at Willow Creek", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28213", "GRP_AG_BIOMASS_TREE", "4164", "Wood", "Mixed/unknown", "gC m-2", , "(dry basis); Live Aboveground Woody BioMass = 91.8 Dry Tons/Ha", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28214", "GRP_AG_BIOMASS_TREE", "865.9", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Non-Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28215", "GRP_AG_BIOMASS_TREE", "2354", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Black Spruce (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28305", "GRP_AG_BIOMASS_TREE", "865.9", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Non-Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28306", "GRP_AG_BIOMASS_TREE", "1452", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Upland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28548", "GRP_AG_BIOMASS_TREE", "1795", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Alder (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "28549", "GRP_AG_BIOMASS_TREE", "5265", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Mixed Forest (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29034", "GRP_AG_BIOMASS_TREE", "100.7", "Foliage", "Mixed/unknown", "gC m-2", "1999", "annual average leaf litterfall 1998-2000= 100.7 (P. Bolstad)", , , , , 
"US-PFa", "29035", "GRP_AG_BIOMASS_TREE", "4890", "Wood", "Mixed/unknown", "gC m-2", "2005", "2004/2006  average from summer sampling; Upland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29036", "GRP_AG_BIOMASS_TREE", "1452", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Upland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29037", "GRP_AG_BIOMASS_TREE", "4890", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Upland Hardwood (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29143", "GRP_AG_BIOMASS_TREE", "100.7", "Foliage", "Mixed/unknown", "gC m-2", "2000", "annual average leaf litterfall 1998-2000= 100.7 (P. Bolstad)", , , , , 
"US-PFa", "29144", "GRP_AG_BIOMASS_TREE", "3610", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Lowland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29145", "GRP_AG_BIOMASS_TREE", "1795", "Wood", "Mixed/unknown", "gC m-2", "2004", "2004/2006  average from summer sampling; Alder (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29146", "GRP_AG_BIOMASS_TREE", "3610", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Lowland Conifer (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-PFa", "29496", "GRP_AG_BIOMASS_TREE", "4287", "Wood", "Mixed/unknown", "gC m-2", "2006", "2004/2006  average from summer sampling; Aspen/Fir (Ryan Anderson)", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-Slt", "27179", "GRP_AG_BIOMASS_TREE", "217.2", "Foliage", "Mixed/unknown", "gC m-2", "2004", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate foliage biomass.  Litterfall collected monthly in ten 0.4 m2 traps within 100 m of the flux tower.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "50.5", , , 
"US-Slt", "27482", "GRP_AG_BIOMASS_TREE", "224.8", "Foliage", "Mixed/unknown", "gC m-2", "2006", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate foliage biomass.  Litterfall collected monthly in ten 0.4 m2 traps within 100 m of the flux tower.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "50.2", , , 
"US-Slt", "27724", "GRP_AG_BIOMASS_TREE", "221.7", "Foliage", "Mixed/unknown", "gC m-2", "2005", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate foliage biomass.  Litterfall collected monthly in ten 0.4 m2 traps within 100 m of the flux tower.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "50.2", , , 
"US-Slt", "27810", "GRP_AG_BIOMASS_TREE", "4002.1", "Wood", "Mixed/unknown", "gC m-2", "2007", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1168.3", , , 
"US-Slt", "28422", "GRP_AG_BIOMASS_TREE", "3788.6", "Wood", "Mixed/unknown", "gC m-2", "2004", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1176.3", , , 
"US-Slt", "28426", "GRP_AG_BIOMASS_TREE", "3887.7", "Wood", "Mixed/unknown", "gC m-2", "2005", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1180.3", , , 
"US-Slt", "28806", "GRP_AG_BIOMASS_TREE", "4006.7", "Wood", "Mixed/unknown", "gC m-2", "2006", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1195.0", , , 
"US-Slt", "29413", "GRP_AG_BIOMASS_TREE", "4109.4", "Total", "Mixed/unknown", "gC m-2", "2005", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1229.6", , , 
"US-Slt", "29415", "GRP_AG_BIOMASS_TREE", "4231.5", "Total", "Mixed/unknown", "gC m-2", "2006", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1244.4", , , 
"US-Slt", "29609", "GRP_AG_BIOMASS_TREE", "4005.8", "Total", "Mixed/unknown", "gC m-2", "2004", , "Five 201 m2 plots within 100 m of the flux tower, censused annually.  Published allometric equations used to calculate aboveground biomass.  48 168 m2 plots in a 1 km2 grid, censused every 5 years.  See Skowronski et al. 2007 for details.", "1227.3", , , 
"US-SO2", "23710", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO2", "24730", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO2", "24865", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO3", "23711", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO3", "24475", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO3", "24731", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO4", "24602", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO4", "24988", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SO4", "25125", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", , "No trees or crops.", , , , , 
"US-SP1", "28007", "GRP_AG_BIOMASS_TREE", "6977.5", "Total", "Mixed/unknown", "gC m-2", "2007", , "Inventory on 4  625 m2  plots", , , , 
"US-SP1", "28337", "GRP_AG_BIOMASS_TREE", "6846", "Wood", "Mixed/unknown", "gC m-2", "2007", , "Allometric equations developed on site were applied to dbh and height measurements", , , , 
"US-SP1", "29229", "GRP_AG_BIOMASS_TREE", "131.5", "Foliage", "Mixed/unknown", "gC m-2", "2007", , "literrfall", , , , 
"US-SP2", "27643", "GRP_AG_BIOMASS_TREE", "197.5", "Foliage", "Mixed/unknown", "gC m-2", "2007", , "literrfall", , , , 
"US-SP2", "28338", "GRP_AG_BIOMASS_TREE", "2182", "Wood", "Mixed/unknown", "gC m-2", "2007", , "Allometric equations developed on site were applied to dbh and height measurements", , , , 
"US-SP2", "29188", "GRP_AG_BIOMASS_TREE", "2379.5", "Total", "Mixed/unknown", "gC m-2", "2007", , "Inventory on 4  625 m2  plots", , , , 
"US-SP3", "27610", "GRP_AG_BIOMASS_TREE", "173", "Foliage", "Mixed/unknown", "gC m-2", "2007", , "literrfall", , , , 
"US-SP3", "27980", "GRP_AG_BIOMASS_TREE", "4545", "Wood", "Mixed/unknown", "gC m-2", "2007", , "Allometric equations developed on site were applied to dbh and height measurements", , , , 
"US-SP3", "28591", "GRP_AG_BIOMASS_TREE", "4718", "Total", "Mixed/unknown", "gC m-2", "2007", , "Inventory on 4  625 m2  plots", , , , 
"US-SRM", "27974", "GRP_AG_BIOMASS_TREE", "780", "Total", "Mixed/unknown", "gC m-2", , "*aboveground tree biomass = (EXP(1.6*LN(35)-0.58)/100)/1000*.47 estimated using equation given in Browning et al. 2008EcolApp,18,933 (be careful…numbers not verified), biomass of herbage production given in Follet, SRER100 issue", , , , , 
"US-Syv", "27018", "GRP_AG_BIOMASS_TREE", "150.5", "Foliage", "Mixed/unknown", "gC m-2", , "2007 Fluxnet File (total above-ground biomass)", , , , , 
"US-Syv", "27320", "GRP_AG_BIOMASS_TREE", "33.33", "Foliage", "Mixed/unknown", "gC m-2", , "AG_TF, Sugar Maple, Tang et al 2008", , , , , 
"US-Syv", "27937", "GRP_AG_BIOMASS_TREE", "24.07", "Foliage", "Mixed/unknown", "gC m-2", , "AG_TF, Sugar Maple, Tang et al 2008", , , , , 
"US-Syv", "27938", "GRP_AG_BIOMASS_TREE", "12700", "Total", "Mixed/unknown", "gC m-2", , "2007 Fluxnet File (total above-ground biomass)", , , , , 
"US-Syv", "28203", "GRP_AG_BIOMASS_TREE", "93.09", "Foliage", "Mixed/unknown", "gC m-2", , "AG_TF, Sugar Maple, Tang et al 2008", , , , , 
"US-Syv", "28297", "GRP_AG_BIOMASS_TREE", "33.1", "Wood", "Mixed/unknown", "gC m-2", , "(33.1 m2 ha-1);  Basal Area, Tang 2008", "Live Aboveground Woody BioMass; www.cheas.psu.edu/data/cheas/biometry", , , , 
"US-Ton", "23837", "GRP_AG_BIOMASS_TREE", "43", "Wood", "Mixed/unknown", "gC m-2", "2003", "2001-2003 by John Battles", , , , , 
"US-Ton", "24243", "GRP_AG_BIOMASS_TREE", "43", "Wood", "Mixed/unknown", "gC m-2", "2002", "2001-2003 by John Battles", , , , , 
"US-Ton", "24495", "GRP_AG_BIOMASS_TREE", "4200", "Foliage", "Mixed/unknown", "gC m-2", "2001", "2001-2003 by John Battles", , , , , 
"US-Ton", "24630", "GRP_AG_BIOMASS_TREE", "4243", "Total", "Mixed/unknown", "gC m-2", "2002", "2001-2003 by John Battles", , , , , 
"US-Ton", "24732", "GRP_AG_BIOMASS_TREE", "4200", "Foliage", "Mixed/unknown", "gC m-2", "2003", "2001-2003 by John Battles", , , , , 
"US-Ton", "24733", "GRP_AG_BIOMASS_TREE", "4243", "Total", "Mixed/unknown", "gC m-2", "2003", "2001-2003 by John Battles", , , , , 
"US-Ton", "24885", "GRP_AG_BIOMASS_TREE", "43", "Wood", "Mixed/unknown", "gC m-2", "2001", "2001-2003 by John Battles", , , , , 
"US-Ton", "25002", "GRP_AG_BIOMASS_TREE", "4200", "Foliage", "Mixed/unknown", "gC m-2", "2002", "2001-2003 by John Battles", , , , , 
"US-Ton", "25134", "GRP_AG_BIOMASS_TREE", "4243", "Total", "Mixed/unknown", "gC m-2", "2001", "2001-2003 by John Battles", , , , , 
"US-UMB", "18391", "GRP_AG_BIOMASS_TREE", "6476.7", "wood", "green", "gC m-2", "19980721", "Litter traps are .179 m^2 with one trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center. Litter trap collection date is 20011020 ± 20 d", "Tree AG wood total biomass =a*D^b where D=DBH (diam. At 1.37m) and a and b are species specific coefficients. DBH determined from complete census and measurement of all trees in all plots.  Resulting biomass multiplied by wood carbon fraction.      AG_BIOMASS_OTHER_ORGAN is tree foliage captured by litter traps 1 m above forest floor", "2218.2", "61", "28", 
"US-UMB", "18402", "GRP_AG_BIOMASS_TREE", "6670", "wood", "Mixed/unknown", "gC m-2", "19991020", "Increment bands are capable of detecting 0.13 mm diameter change.  Increment bands are read each year after leaf abscission and after AG growth has ceased.  Growth of all trees extrapolated from regressions developed from banded trees. Litter traps are .179 m^2 with one trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center.", "Tree AG wood total biomass =a*D^b where D=DBH (diam. At 1.37m) and a and b are species specific coefficients. DBH determined from increment bands installed on 15% of trees with DBH>= 10 cm.  Resulting biomass multiplied by wood carbon fraction.      AG_BIOMASS_OTHER_ORGAN is tree foliage captured by litter traps 1 m above forest floor", "2270.5", "61", "20", 
"US-UMB", "18413", "GRP_AG_BIOMASS_TREE", "6860.6", "wood", "Mixed/unknown", "gC m-2", "20001020", "Increment bands are capable of detecting 0.13 mm diameter change.  Increment bands are read each year after leaf abscission and after AG growth has ceased.  Growth of all trees extrapolated from regressions developed from banded trees. Litter traps are .179 m^2 with one trap in each of 59 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center.", "Tree AG wood total biomass =a*D^b where D=DBH (diam. At 1.37m) and a and b are species specific coefficients. DBH determined from increment bands installed on 15% of trees with DBH>= 10 cm.  Resulting biomass multiplied by wood carbon fraction.      AG_BIOMASS_OTHER_ORGAN is tree foliage captured by litter traps 1 m above forest floor", "2318.1", "61", "20", 
"US-UMB", "18423", "GRP_AG_BIOMASS_TREE", "6866.1", "wood", "green", "gC m-2", "20010721", "Litter traps are .179 m^2 with one trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center. Litter trap collection date is 20011020 ± 20 d", "Tree AG wood total biomass =a*D^b where D=DBH (diam. At 1.37m) and a and b are species specific coefficients. DBH determined from complete census and measurement of all trees in all plots.  Resulting biomass multiplied by wood carbon fraction.      AG_BIOMASS_OTHER_ORGAN is tree foliage captured by litter traps 1 m above forest floor", "2212.7", "61", "28", 
"US-UMB", "18433", "GRP_AG_BIOMASS_TREE", "7011.9", "wood", "Mixed/unknown", "gC m-2", "20021020", "Increment bands are capable of detecting 0.13 mm diameter change.  Increment bands are read each year after leaf abscission and after AG growth has ceased.  Growth of all trees extrapolated from regressions developed from banded trees. Litter traps are .264 m^2 with 1 trap in each of 30 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center.", "Tree AG wood total biomass =a*D^b where D=DBH (diam. At 1.37m) and a and b are species specific coefficients. DBH determined from increment bands installed on 15% of trees with DBH>= 10 cm.  Resulting biomass multiplied by wood carbon fraction.      AG_BIOMASS_OTHER_ORGAN is tree foliage captured by litter traps 1 m above forest floor", "2254.1", "61", "20", 
