"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_O", "SPP_UNIT", "SPP_O_PERC", "SPP_APPROACH", "SPP_DATE", "SPP_O_PERC_SPATIAL_REP_NUMBER", "SPP_O_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"US-PFa", "29155", "GRP_SPP_O", "Yellow Birch, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BEAL2 (NRCS plant code)", "Unknown", "0.017", , , , , , 
"US-PFa", "29497", "GRP_SPP_O", "Red Maple, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACRU (NRCS plant code)", "Unknown", "7.722", , , , , , 
"US-PFa", "29498", "GRP_SPP_O", "White Ash, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "FRAM2 (NRCS plant code)", "Unknown", "0.008", , , , , , 
"US-PFa", "29499", "GRP_SPP_O", "White Spruce, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIGL (NRCS plant code)", "Unknown", "4.891", , , , , , 
"US-PFa", "29500", "GRP_SPP_O", "Alder, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ALNUS (NRCS plant code)", "Unknown", "2.065", , , , , , 
"US-PFa", "29501", "GRP_SPP_O", "Willow, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "SALIX (NRCS plant code)", "Unknown", "0.054", , , , , , 
"US-Pon", "24822", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.ponca_wheat.01", "Winter wheat (C3), crops, grasslands", "Unknown", , , , , , , 
"US-Shd", "24300", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.shidler_tallgrass.01", "Schizachyrium scoparium-little Bluestem Boutelou agracilis-big Bluestem Audropogon gerardii-blue ground Sorghastrum nutans-indiangrass Poverty dropseed", "Unknown", , , , , , , 
"US-Slt", "27474", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "QUAL (NRCS plant code)", "Unknown", "17.60", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-Slt", "28078", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "QUCO (NRCS plant code)", "Unknown", "0.10", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-Slt", "29295", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "PIRI (NRCS plant code)", "Unknown", "15.40", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-Slt", "29296", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "QUVE (NRCS plant code)", "Unknown", "31.20", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-Slt", "29409", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "PIEC (NRCS plant code)", "Unknown", "11.20", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-Slt", "29410", "GRP_SPP_O", "2003-2008; Trees in 5 201 m2 plots, Dominance calculated from basal area", "QUPR (NRCS plant code)", "Unknown", "24.50", "Five 201 m2 plots, censused annually", "2003", , , , 
"US-SO2", "23713", "GRP_SPP_O", , "ADFA (NRCS plant code)", "Unknown", "90", , "2008", , , , 
"US-SO2", "24737", "GRP_SPP_O", , "ADSP (NRCS plant code)", "Unknown", "10", , "2008", , , , 
"US-SO3", "24077", "GRP_SPP_O", , "ADSP (NRCS plant code)", "Unknown", "5", , , , , , 
"US-SO3", "24738", "GRP_SPP_O", , "ADFA (NRCS plant code)", "Unknown", "85", , , , , , 
"US-SO3", "24739", "GRP_SPP_O", , "CEGR (NRCS plant code)", "Unknown", "10", , , , , , 
"US-SO4", "24479", "GRP_SPP_O", , "ADSP (NRCS plant code)", "Unknown", "20", , , , , , 
"US-SO4", "24608", "GRP_SPP_O", , "ADFA (NRCS plant code)", "Unknown", "80", , , , , , 
"US-SP1", "26765", "GRP_SPP_O", , "PIELE2 (NRCS plant code)", "Unknown", "27", "Inventory", "2008", , , , 
"US-SP1", "28826", "GRP_SPP_O", , "PIPA2 (NRCS plant code)", "Unknown", "73", "Inventory", "2008", , , , 
"US-SP2", "27609", "GRP_SPP_O", , "PIELE2 (NRCS plant code)", "Unknown", "100", "Inventory", "2008", , , , 
"US-SP3", "26769", "GRP_SPP_O", , "PIELE2 (NRCS plant code)", "Unknown", "100", "Inventory", "2008", , , , 
"US-SRM", "27353", "GRP_SPP_O", "Mesquite canopy cover estimated within the flux footprint via aerial photos, total understory grass species ~= 25% (E. Hamerlynck, personal communication)", "PRVE (NRCS plant code)", "Unknown", "35", , , , , , 
"US-Syv", "26728", "GRP_SPP_O", "(hemlock); Tang et al-2008", "TSCA (NRCS plant code)", "Unknown", "14", , "2002", , , , 
"US-Syv", "26729", "GRP_SPP_O", "split between TIAM, (basswood) & EUSID (ironwood),    Tang et al-2008", "TIAM (NRCS plant code)", "Unknown", "8", , "2002", , , , 
"US-Syv", "28298", "GRP_SPP_O", "(sugar maple); Tang et al-2008", "ACSA3 (NRCS plant code)", "Unknown", "71", , "2002", , , , 
"US-Syv", "28540", "GRP_SPP_O", "(yellow birch); Tang et al-2008", "BEAL2 (NRCS plant code)", "Unknown", "7", , "2002", , , , 
"US-Syv", "28541", "GRP_SPP_O", "split between TIAM, (basswood) & EUSID (ironwood),    Tang et al-2008", "EUSID (NRCS plant code)", "Unknown", "8", , "2002", , , , 
"US-Ton", "23841", "GRP_SPP_O", , "QUDO (NRCS plant code)", "Unknown", , , , , , , 
"US-UMB", "18854", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Acer rubra", "% mass", "14", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "13.1", "28", 
"US-UMB", "18861", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Acer saccharum", "% mass", "2.3", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "9.5", "28", 
"US-UMB", "18868", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Betula papyrifera", "% mass", "7.5", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "11.7", "28", 
"US-UMB", "18880", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Quercus rubra", "% mass", "16.2", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "21.9", "28", 
"US-UMB", "19060", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Fagus grandifolia", "% mass", "4.2", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "10.7", "28", 
"US-UMB", "19067", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Pinus strobus", "% mass", "2.2", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "5.7", "28", 
"US-UMB", "19074", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Populus grandidentata", "% mass", "37.9", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "29.3", "28", 
"US-UMB", "19081", "GRP_SPP_O", "Only species with biomass > 0.1% of total biomass included in results", "Populus tremuloides", "% mass", "12.5", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "77", "25.3", "28", 
"US-UMB", "23972", "GRP_SPP_O", , "PIST (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMB", "24232", "GRP_SPP_O", , "BEPA (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMB", "24339", "GRP_SPP_O", , "QURU (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMB", "24480", "GRP_SPP_O", , "POGR4 (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMB", "24609", "GRP_SPP_O", , "ACRU (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMB", "24869", "GRP_SPP_O", , "POTR5 (NRCS plant code)", "Unknown", , "Overstory trees defined as trees >=10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , 
"US-UMd", "19205", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Fagus grandifolia", "% Mass", "1.1", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "4.43", "28", 
"US-UMd", "19212", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus resinosa", "% Mass", "3.1", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "6.32", "28", 
"US-UMd", "19219", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus strobus", "% Mass", "8.6", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "11.57", "28", 
"US-UMd", "19224", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "other (5 species)", "% Mass", "0.5", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "1.99", "28", 
"US-UMd", "19246", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Fagus grandifolia", "% Mass", "1.4147982447", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "5.3668759698", "28", 
"US-UMd", "19252", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus resinosa", "% Mass", "3.1174624397", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "6.0103860938", "28", 
"US-UMd", "19257", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus strobus", "% Mass", "10.90926692", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "15.738603283", "28", 
"US-UMd", "19262", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Populus grandidentata", "% Mass", "28.493429028", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "23.725309848", "28", 
"US-UMd", "19265", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Populus tremuloides", "% Mass", "2.6786414259", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "12.84631299", "28", 
"US-UMd", "19267", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Quercus rubra", "% Mass", "34.683086738", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "24.337126063", "28", 
"US-UMd", "19272", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Populus grandidentata", "% Mass", "32.1", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "23.8", "28", 
"US-UMd", "19279", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Populus tremuloides", "% Mass", "3.8", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "17.59", "28", 
"US-UMd", "19286", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Quercus rubra", "% Mass", "30.5", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "23.25", "28", 
"US-UMd", "19295", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Acer rubrum", "% Mass", "10.656671635", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "11.804027944", "28", 
"US-UMd", "19302", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Acer saccharum", "% Mass", "6.3089315023", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "13.224266796", "28", 
"US-UMd", "19309", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Betula papyrifera", "% Mass", "1.0173965089", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "2.4726984741", "28", 
"US-UMd", "19315", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "other (5 species)", "% Mass", "0.72031555723", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "23", "2.4779898499", "28", 
"US-UMd", "19327", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Acer rubrum", "% Mass", "7.8", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "5.43", "28", 
"US-UMd", "19334", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Acer saccharum", "% Mass", "4.2", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "9.55", "28", 
"US-UMd", "19341", "GRP_SPP_O", "Only species with biomass >= 0.1% of total biomass included in results", "Betula papyrifera", "% Mass", "8.3", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23", "11.75", "28", 
"US-Upa", "24037", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.prudhoe.01", "Eriophorum angustifolium, Carex aquatilis, Carex bigelowii", "Unknown", , , , , , , 
"US-Var", "25277", "GRP_SPP_O", , "QUDO (NRCS plant code)", "Unknown", , , , , , , 
"US-WBW", "25072", "GRP_SPP_O", "Oak (Quercus alba, Quercus prinus), hickory (Carya ovata), maple (Acer rubrum), tulip poplar (Liriodendron tulipifera) and loblolly pine (Pinus taeda)", "Quercus alba, Quercus prinus,Carya ovata,Acer rubrum, Liriodendron tulipifera,Pinus taeda", "Unknown", , , , , , , 
"US-WCr", "27049", "GRP_SPP_O", "(Acer saccharum Marsh.)  (Sugar Maple); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "ACSA3 (NRCS plant code)", "Unknown", "43.2", , "2000", , , , 
"US-WCr", "27050", "GRP_SPP_O", "(Tilia americana L.)  (American Basswood); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "TIAM (NRCS plant code)", "Unknown", "32.5", , "2000", , , , 
"US-WCr", "27348", "GRP_SPP_O", "< 2%; (Hophornbeam); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "OSVI (NRCS plant code)", "Unknown", "2", , "2000", , , , 
"US-WCr", "27963", "GRP_SPP_O", "< 2%; (Red Maple);  overstory dominant species based on Basal Area Measurements, Paul Bolstad", "ACRU (NRCS plant code)", "Unknown", "2", , "2000", , , , 
"US-WCr", "27964", "GRP_SPP_O", "< 2%; (Quaking Aspen); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "POTR5 (NRCS plant code)", "Unknown", "2", , "2000", , , , 
"US-WCr", "27965", "GRP_SPP_O", "< 2%; (White Oad); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "QUAL (NRCS plant code)", "Unknown", "2", , "2000", , , , 
"US-WCr", "29160", "GRP_SPP_O", "(Northern Red Oak);  overstory dominant species based on Basal Area Measurements, Paul Bolstad", "QURU (NRCS plant code)", "Unknown", "6.2", , "2000", , , , 
"US-WCr", "29161", "GRP_SPP_O", "< 2%; (Paper Birch); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "BEPA (NRCS plant code)", "Unknown", "2", , "2000", , , , 
"US-WCr", "29512", "GRP_SPP_O", "(Fraxinus pennsylvanica Marsh) (Green Ash); overstory dominant species based on Basal Area Measurements, Paul Bolstad", "FRPE (NRCS plant code)", "Unknown", "13.1", , "2000", , , , 
"US-Wi0", "23924", "GRP_SPP_O", , "Pinus resinosa", "Unknown", , , , , , , 
"US-Wi1", "24178", "GRP_SPP_O", , "Populus grandidentata, P. sp.", "Unknown", , , , , , , 
"US-Wi2", "23925", "GRP_SPP_O", , "Pinus resinosa", "Unknown", , , , , , , 
"US-Wi3", "25068", "GRP_SPP_O", , "Populus grandidentata, Betula papyrifera, Quercus rubra, Acer saccharum, A. rubrum", "Unknown", , , , , , , 
"US-Wi4", "24678", "GRP_SPP_O", , "Pinus resinosa", "Unknown", , , , , , , 
"US-Wi5", "23797", "GRP_SPP_O", , "Pinus  banksiana, Prunus serotina, Rosa sp.", "Unknown", , , , , , , 
"US-Wi6", "25069", "GRP_SPP_O", , "Vaccinium angustifolium, Andropogon scoparius, Comptonia peregrina, Salix humilis", "Unknown", , , , , , , 
"US-Wi8", "24557", "GRP_SPP_O", , "Populus grandidentata, Acer rubrum, P. tremuloides", "Unknown", , , , , , , 
"US-Wi9", "24035", "GRP_SPP_O", , "Pinus banksiana", "Unknown", , , , , , , 
"US-Wkg", "23795", "GRP_SPP_O", , "Bouteloua spp., Eragrostis lehmanniana", "Unknown", , , , , , , 
"US-Wrc", "23796", "GRP_SPP_O", , "Pseudotsuga menziesii, Tsuga heterophylla", "Unknown", , , , , , , 
