"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "RESEARCH_TOPIC", 
"US-PFi", "87578", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFj", "87601", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFk", "87620", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFL", "87632", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFm", "87666", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFn", "87689", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFo", "87712", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFp", "87735", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFq", "87786", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFr", "87763", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFs", "87804", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFt", "87827", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PHM", "30034", "GRP_RESEARCH_TOPIC", "estuarine carbon cycling, sea level rise", 
"US-PLM", "79855", "GRP_RESEARCH_TOPIC", "estuarine carbon cycling, sea level rise", 
"US-Pnp", "79418", "GRP_RESEARCH_TOPIC", "Lake/Atmosphere flux study", 
"US-Pon", "9278", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Ponca Winter Wheat site are as follows: 1) Examine the differences, similarities, and environmental controls in canopy photosynthetic characteristics of diffuse and direct photosynthetically active radiation; 2) Estimate the fraction of incident photosynthetically active radiation absorbed by the photosynthetic components of a plant canopy; 3) Use micrometeorological measurements of CO2 flux and incident radiation to estimate light response parameters from which canopy structure is deduced; 4) Test the ability of a land surface model, the SiB2, to accurately simulate the fluxes of carbon, water, and energy from a dry land wheat system. (Hanan et al., 2005, Gu et al., 2002, Hanan et al., 2002)", 
"US-Prr", "11889", "GRP_RESEARCH_TOPIC", "soil CO2 flux measurements, phenological camera", 
"US-PSH", "86805", "GRP_RESEARCH_TOPIC", "Soil and water salinity impact on crop productivity and water use", 
"US-PSL", "86785", "GRP_RESEARCH_TOPIC", "Soil and water salinity impact on crop productivity and water use", 
"US-RFE", "29954", "GRP_RESEARCH_TOPIC", "Impact of water availability on long term NEE of CO2.", 
"US-RFW", "29971", "GRP_RESEARCH_TOPIC", "Impact of water availability on long term NEE of CO2.", 
"US-Rls", "30719", "GRP_RESEARCH_TOPIC", "Ecosystem productivity and soil carbon storage", 
"US-Rms", "30615", "GRP_RESEARCH_TOPIC", "Ecosystem productivity and soil carbon storage", 
"US-Ro1", "14517", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural ecosystems in the Upper Midwest grown under different management strategies;", 
"US-Ro2", "14543", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural ecosystems in the Upper Midwest grown under different management strategies;", 
"US-Ro3", "14569", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural ecosystems in the Upper Midwest grown under different management strategies;", 
"US-Ro4", "14491", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural and restored ecosystems in the Upper Midwest grown under different management strategies", 
"US-Ro5", "30137", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural ecosystems in the Upper Midwest grown under different management strategies;", 
"US-Ro6", "30163", "GRP_RESEARCH_TOPIC", "Quantify the seasonal and interannual variation of net ecosystem CO2 exchange (FN) of agricultural ecosystems in the Upper Midwest grown under different management strategies", 
"US-Rpf", "85282", "GRP_RESEARCH_TOPIC", "Long-term monitoring energy & CO2 fluxes after forest fires.", 
"US-RRC", "79834", "GRP_RESEARCH_TOPIC", "Biophysical drivers of CO2 and CH4 fluxes", 
"US-Rwe", "88141", "GRP_RESEARCH_TOPIC", "Ecosystem productivity and soil carbon storage", 
"US-Rwf", "88119", "GRP_RESEARCH_TOPIC", "Post-fire ecosystem recovery and productivity", 
"US-Rws", "17074", "GRP_RESEARCH_TOPIC", "Ecosystem productivity and soil carbon storage", 
"US-Sag", "84678", "GRP_RESEARCH_TOPIC", "Energy & greenhouse gas fluxes between tundra ecosystem and the atmosphere.", 
"US-SB1", "31000", "GRP_RESEARCH_TOPIC", "carbon cycling, biogeophysics, forestry, biofuels, biogenic aerosols, diffuse light", 
"US-SB2", "23556", "GRP_RESEARCH_TOPIC", "carbon cycling, biofuels, biogeophysics", 
"US-SB3", "84643", "GRP_RESEARCH_TOPIC", "carbon cycling, forestry, land use change, land management", 
"US-SCc", "769", "GRP_RESEARCH_TOPIC", "The Southern California Climate Gradient - Desert Chaparral site is part of a series, each prefixed with "Southern California Climate Gradient" that spatially spans the major ecosystems in Southern California. These effectively create a Natural Gradient of climates. The research topics of the Coastal Sage site represent the aggregate of "Natural Gradient" sites. The major topics are as follows: 1) Understand the short-term effects of climate variability on ecosystem physiology and ecosystem function; 2) Determine the long-term effects of climate on community composition and ecosystem function; 3) Examine the tight link between climate ecosystem function and natural disasters in Southern California and the large socioeconomic impacts of climate change; 4) Measure the spatial and temporal variation in ecosystem function.", 
"US-SCf", "8430", "GRP_RESEARCH_TOPIC", "The Southern California Climate Gradient - Oak Pine Forest site is part of a series, each prefixed with "Southern California Climate Gradient" that spatially spans the major ecosystems in Southern California. These effectively create a Natural Gradient of climates. The research topics of the Coastal Sage site represent the aggregate of "Natural Gradient" sites. The major topics are as follows: 1) Understand the short-term effects of climate variability on ecosystem physiology and ecosystem function; 2) Determine the long-term effects of climate on community composition and ecosystem function; 3) Examine the tight link between climate ecosystem function and natural disasters in Southern California and the large socioeconomic impacts of climate change; 4) Measure the spatial and temporal variation in ecosystem function.", 
"US-SCg", "8429", "GRP_RESEARCH_TOPIC", "The Southern California Climate Gradient - Grassland site is part of a series, each prefixed with "Southern California Climate Gradient" that spatially spans the major ecosystems in Southern California. These effectively create a Natural Gradient of climates. The research topics of the Coastal Sage site represent the aggregate of "Natural Gradient" sites. The major topics are as follows: 1) Understand the short-term effects of climate variability on ecosystem physiology and ecosystem function; 2) Determine the long-term effects of climate on community composition and ecosystem function; 3) Examine the tight link between climate ecosystem function and natural disasters in Southern California and the large socioeconomic impacts of climate change; 4) Measure the spatial and temporal variation in ecosystem function.", 
"US-SCs", "9279", "GRP_RESEARCH_TOPIC", "The Southern California Climate Gradient - Coastal Sage site is part of a series, each prefixed with "Southern California Climate Gradient" that spatially spans the major ecosystems in Southern California. These effectively create a Natural Gradient of climates. The research topics of the Coastal Sage site represent the aggregate of "Natural Gradient" sites. The major topics are as follows: 1) Understand the short-term effects of climate variability on ecosystem physiology and ecosystem function; 2) Determine the long-term effects of climate on community composition and ecosystem function; 3) Examine the tight link between climate ecosystem function and natural disasters in Southern California and the large socioeconomic impacts of climate change; 4) Measure the spatial and temporal variation in ecosystem function.", 
"US-SCw", "1626", "GRP_RESEARCH_TOPIC", "The Southern California Climate Gradient - Pinyon Juniper Woodland site is part of a series, each prefixed with "Southern California Climate Gradient" that spatially spans the major ecosystems in Southern California. These effectively create a Natural Gradient of climates. The research topics of the Coastal Sage site represent the aggregate of "Natural Gradient" sites. The major topics are as follows: 1) Understand the short-term effects of climate variability on ecosystem physiology and ecosystem function; 2) Determine the long-term effects of climate on community composition and ecosystem function; 3) Examine the tight link between climate ecosystem function and natural disasters in Southern California and the large socioeconomic impacts of climate change; 4) Measure the spatial and temporal variation in ecosystem function.", 
"US-SdH", "12278", "GRP_RESEARCH_TOPIC", "The research focus of the Nebraska SandHills Dry Valley site is to examine the Atmosphere, Vegetation, Aquifer couplings, and their relationships with climate.", 
"US-SDU", "13153", "GRP_RESEARCH_TOPIC", "Analysis of the urban energy budget, ET and carbon emissions", 
"US-Seg", "30667", "GRP_RESEARCH_TOPIC", "Research topics and objectives include 1) To understand the coupled water and energy cycles in semiarid environments; 2) Quantify carbon, water and energy fluxes in addition to inter-annual variability in these fluxes; 3) Quantify the extent to which water and carbon fluxes are controlled by soil moisture and rainfall, and the sensitivity of fluxes in this biome to changes in temperature and precipitation.", 
"US-Ses", "30670", "GRP_RESEARCH_TOPIC", "Research topics and objectives include 1) To understand the coupled water and energy cycles in semiarid environments; 2) Quantify carbon, water and energy fluxes in addition to inter-annual variability in these fluxes; 3) Quantify the extent to which water and carbon fluxes are controlled by soil moisture and rainfall, and the sensitivity of fluxes in this biome to changes in temperature and precipitation.", 
"US-SHC", "33686", "GRP_RESEARCH_TOPIC", "Seasonal dynamics, drought effects, biosphere-atmosphere interactions", 
"US-Shd", "10117", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Shidler Tallgrass Prairie site are as follows: 1) Examine the differences, similarities, and environmental controls in canopy photosynthetic characteristics of diffuse and direct photosynthetically active radiation; 2) Quantify carbon exchange in a mid-latitude tallgrass prairie; 3) Examine the magnitudes of daytime and night-time CO2 fluxes during different times in the year; 4) Study the seasonal variation in carbon exchange in terms of relevant environmental variables; 5) Estimate the fraction of incident photosynthetically active radiation absorbed by the photosynthetic components of a plant canopy. (Suyker et al., 2003, Gu et al., 2002, Hanan et al., 2002, Suyker and Verma, 2001)", 
"US-SHS", "30510", "GRP_RESEARCH_TOPIC", "net ecosystem exchange", 
"US-SJ1", "7537", "GRP_RESEARCH_TOPIC", "1) Spatial and temporal patterns of wetland evapotranspiration, primary production, and nutrient cycling; 2) Rate and seasonal variation of canopy, subcanopy, and total evapotranspiration; 3) Controls and limits of total evapotranspiration", 
"US-SJ2", "5002", "GRP_RESEARCH_TOPIC", "1) Spatial and temporal patterns of wetland evapotranspiration, primary production, and nutrient cycling; 2) Rate and seasonal variation of canopy, subcanopy, and total evapotranspiration; 3) Controls and limits of total evapotranspiration", 
"US-Skr", "11909", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Florida Everglades Shark River Slough Mangrove Forest site are as follows: 1) Determine if seasonal variations in freshwater flow and local diurnal tides were important in regulating organic carbon exchange in this wetland; 2) Investigate how the functioning of mangroves in the Florida Everglades respond to environmental forcing on carbon assimilation over diurnal and seasonal time scales; 3) Determine net ecosystem production (NEP) and key environmental controls on net ecosystem exchange (NEE) of carbon dioxide (CO2) between a mangrove forest and the atmosphere in the coastal Florida Everglades; 4) Quantify the degree to which carbon balance in these coastal systems will change in response to variable salinity and freshwater inundation patterns; 5) Investigate the the response of a mangrove ecosystem to the expected increases in water flows from climate change. (Barr et al., 2009a; Romigh et al., 2006; Barr, 2005)", 
"US-Slt", "13038", "GRP_RESEARCH_TOPIC", "1) Impact of fire management activities on stand carbon dynamics, 2) Flux measurements and smoke emissions during prescribed burns, 3) Comparision of biometric, remotely sensed (LiDAR), and flux-based measurements of stand carbon dynamics.", 
"US-Snd", "11241", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. By developing and testing methane efflux models within a peatland pasture, new methane emission algorithms can later be implemented in coupled climate-carbon cycle models. The research objectives of the Mayberry Wetland, Sherman Island, and Twitchell Island sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These three sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-Sne", "30011", "GRP_RESEARCH_TOPIC", "wetland restoration, greenhouse gas fluxes", 
"US-Snf", "84781", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry wetland, Sherman Wetland, East End, West Pond, East Pond, Bouldin alfalfa, Bouldin corn and Sherman barn sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These eight sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-SO2", "15926", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Sky Oaks Old site are as follows: 1) Effects of elevated CO2 on belowground carbon dynamics in the chaparral ecosystem; 2) Investigate how elevated CO2 levels interact with a complex, patchy landscape in a natural ecosystem with strong water and nutrient limitations; 3) Investigate the effects of elevated CO2 levels on root growth and on microbial biomass, activity, and community structure in a chaparral ecosystem of southern California; 4) Understand how major soil energy channels, such as bacteria-protozoa/nematodes, fungi-mites/collembola, and mycorrhizal fungi, simultaneously respond to elevated CO2 and then to examine potential interactions among these components; 5) Determine if the 100-year-old chaparral stand senescent is in carbon exchange with the atmosphere; 6) Characterize the relationship between NEE and interannual variability in rainfall, the major limiting factor in most arid and semiarid ecosystems; 7) Examine the correlations between photosynthesis, light use efficiency, and various spectral reflectance indices over a range of timescales in a Southern California chaparral ecosystem as a basis for evaluating the light use efficiency model. (Treseder et al., 2003, Lipson et al., 2005, Allen et al., 2005, Sims et al., 2006, Luo et al., 2007)", 
"US-SO3", "15944", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Sky Oaks Young site are as follows: 1) Effects of elevated CO2 on belowground carbon dynamics in the chaparral ecosystem; 2) Investigate how elevated CO2 levels interact with a complex, patchy landscape in a natural ecosystem with strong water and nutrient limitations; 3) Investigate the effects of elevated CO2 levels on root growth and on microbial biomass, activity, and community structure in a chaparral ecosystem of southern California; 4) Understand how major soil energy channels, such as bacteria-protozoa/nematodes, fungi-mites/collembola, and mycorrhizal fungi, simultaneously respond to elevated CO2 and then to examine potential interactions among these components; 5) Characterize the relationship between NEE and interannual variability in rainfall, the major limiting factor in most arid and semiarid ecosystems; 6) Examine the correlations between photosynthesis, light use efficiency, and various spectral reflectance indices over a range of timescales in a Southern California chaparral ecosystem as a basis for evaluating the light use efficiency model. (Treseder et al., 2003, Lipson et al., 2005, Allen et al., 2005, Sims et al., 2006, Luo et al., 2007)", 
"US-SO4", "15910", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Sky Oaks New site are as follows: 1) Effects of elevated CO2 on belowground carbon dynamics in the chaparral ecosystem; 2) Investigate how elevated CO2 levels interact with a complex, patch landscape in a natural ecosystem with strong water and nutrient limitations; 3) Investigate the effects of elevated CO2 levels on root growth and on microbial biomass, activity, and community structure in a chaparral ecosystem of southern California; 4) Understand how major soil energy channels, such as bacteria-protozoa/nematodes, fungi-mites/collembola, and mycorrhizal fungi, simultaneously respond to elevated CO2 and then to examine potential interactions among these components; 5) Characterize the relationship between NEE and interannual variability in rainfall, the major limiting factor in most arid and semiarid ecosystems; 6) Examine the correlations between photosynthesis, light use efficiency, and various spectral reflectance indices over a range of timescales in a Southern California chaparral ecosystem as a basis for evaluating the light use efficiency model. (Treseder et al., 2003, Lipson et al., 2005, Allen et al., 2005, Sims et al., 2006, Luo et al., 2007)", 
"US-SP1", "3327", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Austin Cary site are as follows: 1) Characterize the C dynamics and annual carbon sequestration of a mature, naturally regenerated Florida pine flatwoods ecosystem; 2) Investigate the effects of precipitation and water stress on interannual variation in net ecosystem C exchange; 3) Determine the role of understory vegetation in ecosystem exchanges of water and energy; 4) Quantify ecosystem water and energy budgets and the determining environmental variables; 5) Determine the dominant environmental factors controlling the seasonal partitioning of net radiation into the main energy budget components of latent energy flux and sensible heat flux. (Powell et al., 2008, Powell et al., 2005)", 
"US-SP2", "1627", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Mize site are as follows: 1) Quantify the carbon dynamics of intensively managed pine plantations; 2) Investigate the energy partitioning and changes in carbon sequestration across a slash pine management cycle, or rotation, in north-central Florida; 3) Quantify ecosystem water and energy budgets and the determining environmental variables; 4) Determine the dominant environmental factors controlling the seasonal partitioning of net radiation into the main energy budget components of latent energy flux and sensible heat flux. (Powell et al., 2008, Powell et al., 2005, Gholz and Clark, 2002)", 
"US-SP3", "10161", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Donaldson site are as follows: 1) Quantify the carbon dynamics of intensively managed pine plantations; 2) Investigate the energy partitioning and changes in carbon sequestration across a slash pine management cycle, or rotation, in north-central Florida; 3) Quantify ecosystem water and energy budgets and the determining environmental variables; 4) Determine the dominant environmental factors controlling the seasonal partitioning of net radiation into the main energy budget components of latent energy flux and sensible heat flux. (Powell et al., 2008, Powell et al., 2005, Gholz and Clark, 2002)", 
"US-SP4", "4130", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Rayonier site were as follows: 1) Quantify the carbon dynamics of intensively managed pine plantations; 2) Investigate the energy partitioning and changes in carbon sequestration across a slash pine management cycle, or rotation, in north-central Florida; 3) Quantify ecosystem water and energy budgets and the determining environmental variables; 4) Determine the dominant environmental factors controlling the seasonal partitioning of net radiation into the main energy budget components of latent energy flux and sensible heat flux. (Powell et al., 2008, Powell et al., 2005, Gholz and Clark, 2002)", 
"US-SRC", "757", "GRP_RESEARCH_TOPIC", "1) Feedbacks between climate, phenology, and ecosystem scale fluxes of water, energy and carbon. 2) Spatial and temporal nature of soil moisture control on ecosystem scale fluxes of water, energy and carbon. 3) Understanding the role of widespread creosotebush on land-atmosphere interactions.", 
"US-SRG", "29700", "GRP_RESEARCH_TOPIC", "Long-term water, carbon and energy flux measurements (eddy covariance) and role of semiarid systems in global C cycle. 
Determining how woody plant encroachment affects water and carbon cycling. 
Comparing how mesquite function in upland versus riparian environments.", 
"US-SRM", "11183", "GRP_RESEARCH_TOPIC", "Long-term water, carbon and energy flux measurements (eddy covariance). Determining how woody plant encroachment affects water and carbon cycling. Comparing how mesquite function in upland versus riparian environments. Determining the role of mesquite hydraulic redistribution in the terrestrial water balance", 
"US-Srr", "30957", "GRP_RESEARCH_TOPIC", "Our research focuses on assessing the components of the Net Ecoystem Carbon Balance using the eddy covariance approach to measure atmospheric fluxes of heat, energy, carbon dioxide and methane and testing equipment and techniques to measure the tidal exchange of dissolved organic (DOC) and inorganic carbon (DIC).", 
"US-SSH", "30690", "GRP_RESEARCH_TOPIC", "Understanding of pathways and fluxes of water and carbon in the watershed", 
"US-Sta", "12499", "GRP_RESEARCH_TOPIC", "Sagebrush water relations", 
"US-StJ", "13292", "GRP_RESEARCH_TOPIC", "Understanding carbon dynamics in a temperate tidal marsh", 
"US-StS", "30110", "GRP_RESEARCH_TOPIC", "carbon fluxes, energy fluxes, water fluxes of a transitioning coastal swamp", 
"US-SuM", "13067", "GRP_RESEARCH_TOPIC", "biofuels, crop water use, soil carbon sequestration", 
"US-SuS", "13086", "GRP_RESEARCH_TOPIC", "biofuels, crop water use, soil carbon sequestration", 
"US-SuW", "13107", "GRP_RESEARCH_TOPIC", "biofuels, crop water use, soil carbon sequestration", 
"US-Syv", "15320", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Sylvania Wilderness site are as follows: 1) Better quantify stand age effects in models of forest carbon exchange and improve regional-scale estimates of NEE in old-growth forests; 2) Evaluate the carbon sink strength of old-growth forests; 3) Quantify the differential impact of environmental drivers, radiation, and vapor pressure deficit in old-growth forests; 4) Compare respiration from the old-growth forest with mature second-growth forests under similar climate, and derive the successional pattern of respiration; 5) Upscale sap flux to canopy transpiration, estimate canopy stomatal conductance, and examine transpiration and stomatal responses to environmental conditions; 6) Calculate water use efficiency and its responses to environmental conditions by combining sap flux measurements and eddy covariance measurements. (Deasi et al. (2005), Tang et al. (2006), Ewers et al. (2008), Tang et al. (2008))", 
"US-SZ1", "85784", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-SZ2", "85829", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-SZ3", "85866", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-Ton", "7599", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Tonzi Ranch site include the following: 1) Comparing radiative, convective and latent energy flux densities of an oak savanna and nearby annual grassland over the course of two growing seasons; 2) Quantifying the roles of soil water content and soil physical properties on evaporation rates and canopy conductance; 3) Quantifying the effects of canopy structure and phenology on the partitioning of energy exchange associated with understory and overstory vegetation. Three-fold study assessments include: 1) The relative contributions of vegetation and the soil on CO2 and water vapor exchange; 2) Spatial variability of understory fluxes; 3) The impact of sloping terrain on the interpretation of flux covariances.", 
"US-Tur", "85308", "GRP_RESEARCH_TOPIC", "Methane measurements from American Bison herd", 
"US-Tw1", "12568", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry Wetland, Twitchell Wetland, Sherman Island, Twitchell Island, Twitchell Alfalfa,  and Twitchell Corn sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These six sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-Tw2", "11271", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry Wetland, Twitchell Wetland, Sherman Island, Twitchell Island, Twitchell Alfalfa,  and Twitchell Corn sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These six sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-Tw3", "11290", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry Wetland, Twitchell Wetland, Sherman Island, Twitchell Island, Twitchell Alfalfa,  and Twitchell Corn sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These six sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-Tw4", "11310", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry Wetland, Twitchell Wetland, Sherman Island, Twitchell Island, Twitchell Alfalfa,  and Twitchell Corn, and Twitchell East End Wetland sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These six sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
