"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"US-GBT", "16032", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1991", "2006", "Continuous operation", , 
"US-GBT", "16034", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1991", "2006", "Continuous operation", , 
"US-GCE", "86854", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201307091820", , "Continuous operation", "flux measurements are on ongoing, with funding anticipated through 2024 or beyond", 
"US-GLE", "15337", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-GLE", "16011", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2004", , "Continuous operation", , 
"US-GLE", "16013", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2004", , "Continuous operation", , 
"US-GMF", "6356", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", "2004", "Continuous operation", , 
"US-Goo", "2929", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2006", "Continuous operation", , 
"US-GZ1", "85763", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-GZ1", "85767", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-GZ1", "85774", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-GZ2", "85820", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-GZ2", "85824", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-GZ2", "85825", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-GZ3", "85872", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-GZ3", "85884", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-GZ3", "85891", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-Ha1", "11959", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1991", , "Continuous operation", , 
"US-Ha1", "11974", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1991", , "Continuous operation", , 
"US-Ha1", "11977", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1991", , "Continuous operation", , 
"US-Ha2", "83402", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", "In 2014 we began running two flux systems in parallel in preparation for moving of the Flux system to a new Rohn 45G tower.  The new tower is 34 meters tall, adjacent to the existing scaffold tower.
Data collection from sensors attached to the original scaffolding tower was discontinued after April 9 2018, and is sporadic during the preceding month", 
"US-HB1", "86537", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201706150000", , "Continuous operation", , 
"US-HB1", "86538", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201706150000", , "Continuous operation", , 
"US-HB1", "86539", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "201706150000", , "Continuous operation", , 
"US-HB1", "86540", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201706150000", , "Continuous operation", , 
"US-HB2", "79872", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "2018", , "Planned", , 
"US-HB2", "79873", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2018", , "Planned", , 
"US-HB2", "79876", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2018", , "Planned", , 
"US-HB2", "79878", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2018", , "Planned", "Tower is currently being instrumented and should be operational by April 2018", 
"US-HB3", "86463", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201901050000", , "Continuous operation", , 
"US-HB3", "86466", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201901050000", , "Continuous operation", , 
"US-HB3", "86467", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201901050000", , "Continuous operation", , 
"US-HB3", "86481", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "201901050000", , "Continuous operation", "LE is measured.", 
"US-HBK", "81452", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20160825", , "Continuous operation", , 
"US-HBK", "81460", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20160825", , "Continuous operation", , 
"US-Hn1", "83546", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20151121", , "Continuous operation", , 
"US-Hn1", "83547", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20151121", , "Continuous operation", , 
"US-Hn1", "83548", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20151121", , "Continuous operation", , 
"US-Hn2", "83489", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20151204", , "Continuous operation", , 
"US-Hn2", "83490", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20151204", , "Continuous operation", , 
"US-Hn2", "83500", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20151204", , "Continuous operation", , 
"US-Hn3", "83509", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20171115", , "Continuous operation", , 
"US-Hn3", "83513", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20171115", , "Continuous operation", , 
"US-Hn3", "83521", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20171115", , "Continuous operation", , 
"US-Ho1", "11451", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1996", , "Continuous operation", , 
"US-Ho2", "11483", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-Ho3", "11779", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", , "Continuous operation", , 
"US-HPY", "30541", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20120620", , "Continuous operation", , 
"US-HPY", "30542", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20130620", , "Continuous operation", , 
"US-HPY", "30543", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120620", , "Continuous operation", "interruption through hurricane Sandy Oct 2012", 
"US-HPY", "30544", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20120620", , "Continuous operation", , 
"US-HRA", "83439", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20170414", "20170825", "Intermittent", "Intermittent only for brief farm operations (e.g., burning, panting)", 
"US-HRA", "83440", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20170414", "20170825", "Intermittent", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRA", "83442", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170414", "20170825", "Intermittent", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRA", "83443", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170414", "20170825", "Intermittent", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRC", "12944", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRC", "12958", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRC", "12960", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-HRN", "87840", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201906100000", , "Intermittent", "Tower is on north side of field - only use southern winds", 
"US-HRN", "87846", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201906100000", , "Intermittent", , 
"US-HRN", "87852", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201906100000", , "Intermittent", , 
"US-HRP", "31133", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170609", , "Continuous operation", , 
"US-HRP", "31134", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170609", , "Continuous operation", , 
"US-HRP", "31135", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20170609", , "Periodic operation", , 
"US-HRP", "31136", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20170609", , "Periodic operation", , 
"US-HRS", "33519", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201706212300", , "Intermittent", , 
"US-HRS", "33521", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201706212300", , "Intermittent", "Tower is on north side of field - only use southern winds", 
"US-HRS", "33533", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201706212300", , "Intermittent", , 
"US-HVa", "15778", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1994", "1995", "Continuous operation", , 
"US-HVs", "84653", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "199505280000", "199509060000", "Growing season operation only", , 
"US-HVs", "84654", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "199505280000", "199509060000", "Growing season operation only", , 
"US-HVs", "84657", "GRP_FLUX_MEASUREMENTS", "Other", "CH4", "199505280000", "199509060000", "Intermittent", "Modified Gradient method", 
"US-HVs", "84669", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "199505280000", "199509060000", "Growing season operation only", , 
"US-IB1", "3784", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", , "Continuous operation", , 
"US-IB2", "7172", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-ICh", "12067", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-ICs", "12087", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-ICt", "12107", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-Ivo", "14902", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"US-Ivo", "14918", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2003", , "Continuous operation", , 
"US-Ivo", "14920", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2013", , "Continuous operation", , 
"US-JLN", "85677", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201803141200", , "Continuous operation", , 
"US-JLN", "85682", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201803141200", , "Continuous operation", , 
"US-JLN", "85683", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201803141200", , "Continuous operation", , 
"US-JLR", "85700", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201803141200", , "Continuous operation", , 
"US-JLR", "85704", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201803141200", , "Continuous operation", , 
"US-JLR", "85712", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201803141200", , "Continuous operation", , 
"US-JRn", "87857", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201709300000", "201812310000", "Continuous operation", , 
"US-JRn", "87860", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Isotopes", "201709300000", "201812310000", "Continuous operation", , 
"US-JRn", "87864", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201709300000", "201812310000", "Continuous operation", , 
"US-JRn", "87872", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201709300000", "201812310000", "Continuous operation", , 
"US-JRn", "87879", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201709300000", "201812310000", "Continuous operation", , 
"US-KCM", "9779", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-KCM", "33554", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20070401", "20121231", "Periodic operation", , 
"US-KCM", "33558", "GRP_FLUX_MEASUREMENTS", "Other", "H2O", "20070401", "20170906", "Continuous operation", , 
"US-KCM", "33560", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20070401", "20170906", "Periodic operation", , 
"US-KCM", "33562", "GRP_FLUX_MEASUREMENTS", "Other", "CH4", "20160401", "20170906", "Continuous operation", , 
"US-KCM", "33564", "GRP_FLUX_MEASUREMENTS", "Other", "N2O", "2010", "20170906", "Continuous operation", , 
"US-KFB", "13169", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2006", , "Continuous operation", , 
"US-KFB", "13182", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2006", , "Continuous operation", , 
"US-KFS", "11516", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20070617", , "Continuous operation", , 
"US-KFS", "11527", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20070617", , "Continuous operation", , 
"US-KL1", "14590", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KL1", "14607", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KL1", "14610", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KL2", "14615", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KL2", "14632", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KL2", "14636", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KL3", "14641", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KL3", "14658", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KL3", "14662", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KLS", "13195", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2012", , "Continuous operation", , 
"US-KLS", "13204", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2012", , "Continuous Operation", , 
"US-KM1", "14667", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KM1", "14684", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KM1", "14688", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KM2", "14693", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KM2", "14710", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KM2", "14714", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KM3", "14720", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KM3", "14737", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KM3", "14742", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-KM4", "14748", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090101", , "Continuous operation", , 
"US-KM4", "14765", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090101", , "Continuous operation", , 
"US-KM4", "14770", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090101", , "Continuous operation", , 
"US-Kon", "11531", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2006", , "Continuous operation", , 
"US-Kon", "11544", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2006", , "Continuous operation", , 
"US-KS1", "15541", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200201010000", "200512312300", "Continuous operation", , 
"US-KS2", "15565", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200004010000", "200612312330", "Continuous operation", , 
"US-KS3", "79252", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201712120000", , "Continuous operation", , 
"US-KS3", "79253", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201712120000", , "Continuous operation", "Rapid Response system deployment", 
"US-KS4", "79894", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170418", , "Continuous operation", "Rapid Response system deployment", 
"US-KS4", "79895", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170418", , "Continuous operation", , 
"US-KUO", "11699", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060627", "20090626", "Continuous operation", , 
"US-KUO", "11714", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20060627", "20090626", "Continuous operation", , 
"US-KUO", "11715", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20060627", "20090626", "Continuous operation", , 
"US-KUT", "11759", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20051127", "20090529", "Continuous operation", , 
"US-KUT", "11774", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20051127", "20090529", "Continuous operation", , 
"US-KUT", "11775", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20051127", "20090529", "Continuous operation", , 
"US-LA1", "85100", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "200110080000", "201212060000", "Continuous operation", , 
"US-LA1", "85105", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200110080000", "201212060000", "Continuous operation", , 
"US-LA1", "85106", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "200110080000", "201212060000", "Continuous operation", , 
"US-LA1", "85107", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "200110080000", "201212060000", "Continuous operation", , 
"US-LA1", "85110", "GRP_FLUX_MEASUREMENTS", "Chambers", "N2O", "200110080000", "201212060000", "Continuous operation", , 
"US-LA1", "85111", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200110080000", "201212060000", "Continuous operation", , 
"US-LA2", "85122", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201112152330", "201311181330", "Continuous operation", , 
"US-LA2", "85124", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "201112152330", "201311181330", "Continuous operation", , 
"US-LA2", "85128", "GRP_FLUX_MEASUREMENTS", "Chambers", "N2O", "201112152330", "201311181330", "Continuous operation", , 
"US-LA2", "85132", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201112152330", "201311181330", "Continuous operation", , 
"US-LA2", "85137", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "201112152330", "201311181330", "Continuous operation", , 
"US-LA2", "85141", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201112152330", "201311181330", "Continuous operation", , 
"US-LA3", "85146", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201912211200", , "Planned", , 
"US-LA3", "85152", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201912211200", , "Planned", , 
"US-LA3", "85156", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "201912211200", , "Planned", , 
"US-LA3", "85159", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "201912211200", , "Planned", , 
"US-LA3", "85166", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201912211200", , "Planned", , 
"US-LGr", "13008", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130101", , "Continuous operation", , 
"US-LGr", "13022", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130101", , "Continuous operation", , 
"US-LGr", "13025", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20130101", , "Continuous operation", , 
"US-LGr", "13026", "GRP_FLUX_MEASUREMENTS", "Chambers", "N2O", "20130101", , "Intermittent", , 
"US-LGr", "13027", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20130101", , "Intermittent", , 
"US-Lin", "83618", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200910", "201011", "Continuous operation", "Date start and date end provided by Silvano Fares", 
"US-LL1", "83562", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200810221000", "201607052330", "Continuous operation", , 
"US-LL1", "83565", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200810221000", "201607052330", "Continuous operation", , 
"US-LL2", "83585", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200810221000", "201607052330", "Continuous operation", , 
"US-LL2", "83589", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200810221000", "201607052330", "Continuous operation", , 
"US-LL3", "83603", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200810221000", "201607052330", "Continuous operation", , 
"US-LL3", "83606", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200810221000", "201607052330", "Continuous operation", , 
"US-Los", "15279", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", "Growing season only from 2007-2008, 2010 no measurement in 2009, 2011-2013", 
"US-Los", "15294", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2014", , "Continuous operation", , 
"US-Los", "15297", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2001", , "Continuous operation", , 
"US-Los", "15299", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2001", , "Continuous operation", , 
"US-LPH", "6682", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", , "Continuous operation", , 
"US-LWW", "7174", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", "1998", "Continuous operation", , 
"US-Me1", "4665", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2005", "Continuous operation", , 
"US-Me2", "12963", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20021019", , "Continuous operation", , 
"US-Me2", "12977", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20021019", , "Continuous operation", , 
"US-Me3", "17276", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2009", "Continuous operation", , 
"US-Me4", "408", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1996", "2000", "Continuous operation", , 
"US-Me5", "9773", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", "2002", "Continuous operation", , 
"US-Me6", "11557", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20100302", , "Continuous operation", , 
"US-Me6", "11570", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20100302", , "Continuous operation", , 
"US-Men", "33581", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201201010000", , "Continuous operation", , 
"US-Men", "33582", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201201010000", , "Continuous operation", , 
"US-Men", "33583", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201201010000", , "Continuous operation", , 
"US-Mj1", "29750", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201301010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-Mj1", "29751", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201301010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-Mj1", "29752", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201301010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-Mj2", "29730", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201401010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-Mj2", "29731", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201401010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-Mj2", "29732", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201401010030", "201412312330", "Growing season operation only", "LiCor 7500 & CSAT-3", 
"US-MMS", "11718", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-MMS", "11732", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1999", , "Continuous operation", , 
"US-MMS", "11735", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1999", , "Continuous operation", , 
"US-MMS", "11738", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "2011", , "Continuous operation", "Autochambers in a set of girdled and control plots", 
"US-MMS", "11741", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "2011", , "Intermittent", "Soil collars distributed through footprint measured manually during the growing season", 
"US-MOz", "17086", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-Mpj", "15434", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200701010000", , "Continuous Operation", , 
"US-Mpj", "15445", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Mpj", "15448", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-MRf", "8075", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", , "Continuous operation", , 
"US-MRM", "30521", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090430", , "Continuous operation", "no flux in 2010", 
"US-MRM", "30522", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20090430", , "Continuous operation", "no flux in 2010", 
"US-MRM", "30523", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090430", , "Continuous operation", "no flux in 2010", 
"US-MRM", "30524", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090430", , "Continuous operation", "no flux in 2010", 
"US-MtB", "87246", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20091101", , "Continuous operation", , 
"US-MtB", "87253", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20091101", , "Continuous operation", , 
